video_title,author,comment_text
I bought the CHEAPEST Tech in India!,@vgh.46,"I&#39;m on the edge of my seat for launch of honor 200, I had to buy new phone 2 months back, was very impressed by honor 90 as it met all my requirements, but by checking in other countries honor had more upgraded models, I got even more impressed by those like honor 100 pro, but now I&#39;m very very eager to honor 200 which is literally the best best phone which meets all of my needs."
I bought the CHEAPEST Tech in India!,@Itz_goldaniel1243,you are one GOAT at tech mrwhostheboss or i can say MY BOSS!!
I bought the CHEAPEST Tech in India!,@Brokhael,That karaoke mic is insane 😯😯😯😯😯😯
I bought the CHEAPEST Tech in India!,@DrizzingSakuras,YOU ATE ROTI WITHOUT CURRY 😨
I bought the CHEAPEST Tech in India!,@josmu1027,Poor Milo 😢
I bought the CHEAPEST Tech in India!,@FreezeStixx,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1600"">26:40</a> kinda sounded like a Cat in the Hat rhyme"
I bought the CHEAPEST Tech in India!,@Edvoid007,Bro even check the table blood oxygen 😊😊
I bought the CHEAPEST Tech in India!,@casualsimer,"This is wired, me actually watching this on my birthday 🎉 🤣 <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1053"">17:33</a>"
I bought the CHEAPEST Tech in India!,@amougyou1640,Bro went back to spawn 💀
I bought the CHEAPEST Tech in India!,@AnthonySangelia,ME!!! Hyderabad!
I bought the CHEAPEST Tech in India!,@evilleader1991,his hindi is garbage tier
I bought the CHEAPEST Tech in India!,@evilleader1991,it all comes from china
I bought the CHEAPEST Tech in India!,@ieatladders7150,The Nike Air Force Jordans
I bought the CHEAPEST Tech in India!,@KENNEZU0316,Dude the camera quality of Agni 2 is so good for the price
I bought the CHEAPEST Tech in India!,@user-lh6hq9bv1x,Nike w hump man is crazy
I bought the CHEAPEST Tech in India!,@_airow,Youre not taking in consideration of the longevity factor. Most of these products will stop/start deteriorating after like couple of months. So rating them that highly is impractical.
I bought the CHEAPEST Tech in India!,@RahulRahul-hv6ks,Me
I bought the CHEAPEST Tech in India!,@sirable48plays35,love your vids but that phone is 6/10 for me 0.0
I bought the CHEAPEST Tech in India!,@user-eh7du9bs3n,Wait till he finds out all those products are made in china
I bought the CHEAPEST Tech in India!,@DylanMalec,not me kinda wanting to scan the pay qr code and donate 😅
I bought the CHEAPEST Tech in India!,@Lnclt-tc3ln,Tbh. for a rubber bumper case and similar basic stuff I&#39;d practiclly always go for &quot;3rd party&quot; anyway. <br>It&#39;s not like a bit of rubber gets better just because it&#39;s &quot;made by&quot; Apple (and <b>really</b> made by the same company that makes the &quot;fake&quot;)
I bought the CHEAPEST Tech in India!,@jovargas6778,this guy is so out of touch with reality.
I bought the CHEAPEST Tech in India!,@danielswine4891,"Gurav is cool, that dude is awesome!"
I bought the CHEAPEST Tech in India!,@KingTheDestroyer8649,Feels weird seeing places I’ve been
I bought the CHEAPEST Tech in India!,@khalidsaif,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=270"">4:30</a> which store is this to buy n-gage."
I bought the CHEAPEST Tech in India!,@waheedaziyam3319,Aaron raised millions...<br> Millions.
I bought the CHEAPEST Tech in India!,@offersofqatarandindia4323,The airdopes you used must be returned to blinkit therefore the scuffing
I bought the CHEAPEST Tech in India!,@kavyanshthepro8989,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=442"">7:22</a> , bro where&#39;s Kashmir 💀💀"
I bought the CHEAPEST Tech in India!,@vaaa3722,Courtesy of the Digital revolution
I bought the CHEAPEST Tech in India!,@beyonder_rebirth,No doubt massager is  technical guruji
I bought the CHEAPEST Tech in India!,@yusufrocks76,The crowd is for Gaurav...
I bought the CHEAPEST Tech in India!,@ritchumecheran9590,In reality me and my friends are using GPay because we don&#39;t have enough money to withdraw 😂
I bought the CHEAPEST Tech in India!,@MRUNKNOW2.0,Next time Nepal🇳🇵
I bought the CHEAPEST Tech in India!,@Sfg966,How do u use apple watch with s24 ultra
I bought the CHEAPEST Tech in India!,@MerioOvung,Sup?
I bought the CHEAPEST Tech in India!,@butter5144,❤😂
I bought the CHEAPEST Tech in India!,@JohnJoeJacob,"Wrong map of India,u should have noticed that  @Mrwhosetheboss ,love ur videos"
I bought the CHEAPEST Tech in India!,@Yashwanth_FF,You can get a lot of tech in hyderabad too
I bought the CHEAPEST Tech in India!,@krishnatripathi9576,"Welcome Home, friends!"
